classification,trait,is_control,class,in_S5_36_family,in_unified_48_family,n_trait_universe,n_class,k_overlap,OR,CI_lo,CI_hi,p_two_sided,q_bh_S5_36,q_bh_unified_48,p_one_sided,q_bh_48_one_sided_P04c,sig_S5_36,sig_unified_48
LOO-brain,Intelligence,False,gene_driven_strict,True,True,180,1099,32,0.7552369614225284,0.5123001047274861,1.1133764421191055,0.170089072472341,0.4373719006431625,0.45357085992624274,0.9378391482976921,1.0,False,False
LOO-brain,Intelligence,False,gene_driven_all,True,True,180,1140,32,0.7192896867987121,0.48799253582894203,1.060216326170095,0.1038412614002586,0.3115237842007758,0.3416479519047081,0.9639804750919391,1.0,False,False
LOO-brain,Intelligence,False,dual_driven,False,True,180,24,2,2.4371807967313583,0.568686401393823,10.444860684900876,0.2149298266540773,,0.5210663516018952,0.2149298266540773,0.5803262326126016,False,False
LOO-brain,Major depression,False,regulation_driven,True,True,154,613,38,2.418440779610195,1.6595762269098921,3.5243068137774274,1.625951894560587e-05,8.362038314883018e-05,0.00011149384419844025,1.3863086950774733e-05,9.506116766245532e-05,True,True
LOO-brain,Major depression,False,gene_driven_strict,True,True,154,1099,23,0.6109140440988677,0.39020977100702053,0.9564495740690167,0.029718307870812463,0.1069859083349248,0.14264787777989982,0.9909173029231395,1.0,False,False
LOO-brain,Major depression,False,gene_driven_all,True,True,154,1140,27,0.7080883757454847,0.46490525057209875,1.0784759846202723,0.11895947844624583,0.3294262480049884,0.3568784353387375,0.9599709977895204,1.0,False,False
LOO-brain,Major depression,False,dual_driven,False,True,154,24,2,2.869617224880383,0.6687427808303164,12.313707532073717,0.1691757573179177,,0.45357085992624274,0.1691757573179177,0.5413624234173366,False,False
LOO-brain,Bipolar disorder,False,regulation_driven,True,True,115,613,32,2.838811355577214,1.8709361828144713,4.307388988774122,4.8804388257779265e-06,4.392394943200134e-05,5.856526590933512e-05,4.65685576279646e-06,5.181389941978406e-05,True,True
LOO-brain,Bipolar disorder,False,gene_driven_strict,True,True,115,1099,20,0.7375249987805473,0.45321945380689044,1.200176027876358,0.255453859583194,0.5548726095028984,0.5716869310029863,0.9135626455855967,1.0,False,False
LOO-brain,Bipolar disorder,False,gene_driven_all,True,True,115,1140,21,0.7466773144715076,0.4630642240883285,1.2039950031640443,0.26202317670970204,0.5548726095028984,0.5716869310029863,0.9084644668892545,1.0,False,False
LOO-brain,Bipolar disorder,False,dual_driven,False,True,115,24,1,1.8443935926773456,0.24694238349147987,13.775633314184057,0.43034139151729955,,0.7122891997527717,0.43034139151729955,0.889514449435566,False,False
LOO-brain,Neuroticism,False,regulation_driven,True,True,122,613,33,2.731034482758621,1.8146691923710465,4.110142706655701,8.09706730850066e-06,5.829888462120476e-05,7.773184616160635e-05,6.4767374274730074e-06,5.181389941978406e-05,True,True
LOO-brain,Neuroticism,False,gene_driven_strict,True,True,122,1099,26,0.9538482447965206,0.6151755015247463,1.4789705894437413,0.9121991067075553,0.938415242180906,0.9760840878021914,0.6193268754685669,0.9289903132028503,False,False
LOO-brain,Neuroticism,False,gene_driven_all,True,True,122,1140,27,0.9547737267697546,0.6194364330434361,1.4716487773425546,0.9133142441755644,0.938415242180906,0.9760840878021914,0.618486663494915,0.9289903132028503,False,False
LOO-brain,Neuroticism,False,dual_driven,False,True,122,24,1,1.7351778656126482,0.23243229043933974,12.953631440885518,0.4497597004265508,,0.7196155206824812,0.4497597004265508,0.889514449435566,False,False
