gene_id,gene_symbol,classification_loo_brain,prenatal_mean,postnatal_mean,ratio
ENSG00000064393,HIPK2,regulation-driven,22.72391306751055,8.071676139372821,2.8152657112524127
ENSG00000064419,TNPO3,neutral,4.163904362869198,4.222979229965158,0.9860110921984225
ENSG00000064651,SLC12A2,neutral,2.450757084388186,4.195982724738676,0.5840722531908942
ENSG00000064703,DDX20,regulation-driven,23.995840928270045,28.437415344947738,0.8438123028129983
ENSG00000064763,FAR2,gene-driven,1.3140637552742613,36.52426624041812,0.035977827634497556
ENSG00000064886,CHI3L2,gene-driven,2.97039264556962,1.7116964181184668,1.7353501556279114
ENSG00000064995,TAF11,gene-driven,9.302969033755273,5.02284924738676,1.8521298521143819
ENSG00000064999,ANKS1A,neutral,33.920827717299574,30.47212706271777,1.113175580013948
ENSG00000065060,BLTP3A,regulation-driven,38.95417433333333,8.467935616724738,4.600197273157844
ENSG00000065135,GNAI3,neutral,32.89598331223629,16.122207634146342,2.040414319101288
ENSG00000065154,OAT,neutral,11.535837417721517,4.321352672473867,2.669496866386871
ENSG00000065243,PKN2,neutral,25.87730117721519,15.617937317073169,1.6568962118273276
ENSG00000065308,TRAM2,neutral,5.166175299578059,2.1745957386759582,2.375694575178179
ENSG00000065357,DGKA,gene-driven,0.4353337426160337,4.762284522648084,0.09141279580119772
ENSG00000065491,TBC1D22B,neutral,17.934299767932494,22.448179411149823,0.7989200121513942
ENSG00000065518,NDUFB4,neutral,13.048602632911393,5.914671724738677,2.206141480064628
ENSG00000065548,ZC3H15,neutral,13.30474247257384,31.145484135888506,0.4271804674643979
ENSG00000065600,PACC1,neutral,30.72816358227848,50.26096009756097,0.611372395645296
ENSG00000065615,CYB5R4,neutral,0.0298420717299578,0.18034260975609756,0.16547432562009273
ENSG00000065621,GSTO2,neutral,12.284080649789033,12.230821923344948,1.0043544683078436
ENSG00000065675,PRKCQ,regulation-driven,8.796714742616034,9.723777515679442,0.9046602237074497
ENSG00000065802,ASB1,gene-driven,16.40058270464135,9.75425860627178,1.6813766547153186
ENSG00000065833,ME1,neutral,5.663738953586498,3.058951780487805,1.8515293342359627
ENSG00000065970,FOXJ2,neutral,359.3897511097046,38.66345734146341,9.29533403947009
ENSG00000066027,PPP2R5A,neutral,23.443034358649793,27.264359463414635,0.859841742847743
ENSG00000066056,TIE1,neutral,10.147268506329112,9.38885624738676,1.0807779178804067
ENSG00000066185,ZMYND12,gene-driven,2.2137639746835442,2.0274698710801395,1.091885017015891
ENSG00000066294,CD84,neutral,3.870113506329114,24.472365421602788,0.15814219180107542
ENSG00000066336,SPI1,neutral,3.345869,1.7864942787456444,1.8728685783137482
ENSG00000066379,POLR1H,neutral,10.460653704641352,2.6696235226480836,3.9184003346903014
ENSG00000066405,CLDN18,neutral,6.46631482700422,4.677507728222996,1.382427395680819
ENSG00000066422,ZBTB11,neutral,1.787600670886076,1.841415331010453,0.9707753817305046
ENSG00000066855,MTFR1,gene-driven (relaxed),5.424749126582279,4.235049034843206,1.2809176663483708
ENSG00000067082,KLF6,gene-driven,8.21084157383966,17.855642160278745,0.45984577312516445
ENSG00000067113,PLPP1,gene-driven,39.126605253164556,11.242346515679442,3.4802881407894324
ENSG00000067221,STOML1,gene-driven,173.41631329957804,329.3138009198606,0.5265989849656478
ENSG00000067334,DNTTIP2,neutral,4.485354126582278,3.7423145365853663,1.198550811999595
ENSG00000067533,RRP15,neutral,94.97936428691983,109.00783027874564,0.8713077220603933
ENSG00000067704,IARS2,neutral,60.14296325316456,161.38974684320556,0.37265665526816305
ENSG00000068028,RASSF1,neutral,14.522919708860757,27.95157106271777,0.5195743622522759
ENSG00000068650,,regulation-driven,5.775998687763713,3.178933825783972,1.8169609700319151
ENSG00000068654,POLR1A,regulation-driven,54.33185647679325,46.639801351916375,1.164924697402486
ENSG00000068697,LAPTM4A,neutral,1.328043805907173,1.9574582682926829,0.6784531897405445
ENSG00000068745,IP6K2,gene-driven,1.2878836329113923,0.34743951916376303,3.706785100356871
ENSG00000068784,SRBD1,neutral,9.88207199578059,6.54302150174216,1.5103224088671214
ENSG00000068831,RASGRP2,regulation-driven,5.797200025316456,3.3074240348432054,1.7527840289735583
ENSG00000068912,,gene-driven (relaxed),26.028102118143465,33.534764498257836,0.7761528225282647
ENSG00000068976,PYGM,regulation-driven,0.02235083122362869,0.005668808362369338,3.942774176667868
