gene_id,gene_symbol,classification_v7,stability
ENSG00000084764,MAPRE3,neutral,1.0
ENSG00000085365,SCAMP1,gene-driven,1.0
ENSG00000085491,SLC25A24,neutral,1.0
ENSG00000085552,IGSF9,neutral,0.947
ENSG00000085662,AKR1B1,neutral,0.577
ENSG00000085733,CTTN,neutral,0.903
ENSG00000085840,ORC1,neutral,1.0
ENSG00000085871,MGST2,neutral,1.0
ENSG00000085978,ATG16L1,gene-driven,1.0
ENSG00000086062,B4GALT1,neutral,1.0
ENSG00000086065,CHMP5,neutral,1.0
ENSG00000086102,NFX1,neutral,0.979
ENSG00000086159,AQP6,gene-driven,1.0
ENSG00000086189,DIMT1,gene-driven,1.0
ENSG00000086289,EPDR1,neutral,1.0
ENSG00000086300,SNX10,neutral,0.997
ENSG00000086589,RBM22,gene-driven,1.0
ENSG00000086619,ERO1B,neutral,0.627
ENSG00000086730,LAT2,gene-driven,1.0
ENSG00000086827,ZW10,neutral,1.0
ENSG00000087085,ACHE,neutral,0.994
ENSG00000087095,NLK,neutral,0.948
ENSG00000087111,PIGS,gene-driven,1.0
ENSG00000087116,ADAMTS2,neutral,0.736
ENSG00000087206,UIMC1,gene-driven,1.0
ENSG00000087299,L2HGDH,gene-driven,1.0
ENSG00000087301,TXNDC16,gene-driven,1.0
ENSG00000087302,RTRAF,neutral,1.0
ENSG00000087338,GMCL1,neutral,1.0
ENSG00000087494,PTHLH,gene-driven,1.0
ENSG00000087884,AAMDC,gene-driven,0.999
ENSG00000088035,ALG6,gene-driven,0.934
ENSG00000088280,ASAP3,dual-driven,0.538
ENSG00000088386,SLC15A1,neutral,0.981
ENSG00000088451,TGDS,neutral,1.0
ENSG00000088726,TMEM40,gene-driven,1.0
ENSG00000088808,PPP1R13B,neutral,0.88
ENSG00000088926,F11,neutral,0.998
ENSG00000088992,TESC,neutral,1.0
ENSG00000089041,P2RX7,gene-driven,0.705
ENSG00000089116,LHX5,neutral,1.0
ENSG00000089127,OAS1,gene-driven,0.985
ENSG00000089169,RPH3A,gene-driven,1.0
ENSG00000089225,TBX5,regulation-driven,1.0
ENSG00000089234,BRAP,neutral,0.719
ENSG00000089250,NOS1,regulation-driven,0.958
ENSG00000089597,GANAB,gene-driven,1.0
ENSG00000089692,LAG3,neutral,1.0
ENSG00000089723,OTUB2,neutral,1.0
ENSG00000089737,DDX24,neutral,1.0
ENSG00000089775,ZBTB25,neutral,1.0
ENSG00000089818,NECAP1,gene-driven,1.0
ENSG00000089902,RCOR1,gene-driven,0.95
ENSG00000090054,SPTLC1,neutral,0.992
ENSG00000090060,,neutral,0.635
ENSG00000090104,RGS1,neutral,1.0
ENSG00000090263,MRPS33,gene-driven,1.0
ENSG00000090266,NDUFB2,gene-driven,1.0
ENSG00000090273,NUDC,gene-driven,1.0
ENSG00000090402,SI,regulation-driven,0.706
ENSG00000090432,MUL1,neutral,1.0
ENSG00000090470,PDCD7,neutral,1.0
ENSG00000090520,DNAJB11,neutral,1.0
ENSG00000090530,P3H2,neutral,0.839
ENSG00000090539,CHRD,regulation-driven,1.0
ENSG00000090581,GNPTG,neutral,1.0
ENSG00000090686,,neutral,0.661
ENSG00000090975,PITPNM2,regulation-driven,0.704
ENSG00000091128,,regulation-driven,0.692
ENSG00000091138,SLC26A3,regulation-driven,0.581
ENSG00000091140,DLD,neutral,0.861
ENSG00000091317,CMTM6,neutral,1.0
ENSG00000091483,FH,gene-driven,1.0
ENSG00000091656,,regulation-driven,0.694
ENSG00000091664,SLC17A6,neutral,0.665
ENSG00000091732,ZC3HC1,gene-driven,0.998
ENSG00000091831,ESR1,gene-driven,0.994
ENSG00000091844,RGS17,neutral,1.0
ENSG00000091879,ANGPT2,gene-driven,0.88
ENSG00000092009,CMA1,neutral,1.0
ENSG00000092010,PSME1,gene-driven,1.0
ENSG00000092020,PPP2R3C,gene-driven,0.915
ENSG00000092051,JPH4,neutral,0.998
ENSG00000092067,CEBPE,neutral,1.0
ENSG00000092068,SLC7A8,neutral,0.731
ENSG00000092201,SUPT16H,neutral,0.998
ENSG00000092203,TOX4,neutral,1.0
ENSG00000092345,DAZL,gene-driven,1.0
ENSG00000092529,,gene-driven,1.0
ENSG00000092531,SNAP23,gene-driven,0.772
ENSG00000092607,TBX15,gene-driven,0.988
ENSG00000092820,EZR,gene-driven,0.63
ENSG00000092847,AGO1,gene-driven,0.525
ENSG00000092853,CLSPN,regulation-driven,0.656
ENSG00000092871,RFFL,gene-driven,1.0
ENSG00000092969,TGFB2,neutral,0.959
ENSG00000092978,GPATCH2,neutral,0.968
ENSG00000095015,MAP3K1,gene-driven,1.0
ENSG00000095139,ARCN1,neutral,0.966
ENSG00000095203,EPB41L4B,regulation-driven,0.634
ENSG00000095261,PSMD5,gene-driven,0.889
ENSG00000095319,NUP188,neutral,0.994
ENSG00000095321,CRAT,neutral,1.0
ENSG00000095380,NANS,gene-driven,1.0
ENSG00000095383,TBC1D2,neutral,0.986
ENSG00000095464,PDE6C,neutral,1.0
ENSG00000095564,BTAF1,regulation-driven,0.737
ENSG00000095574,IKZF5,neutral,1.0
ENSG00000095585,BLNK,neutral,1.0
ENSG00000095596,CYP26A1,neutral,1.0
ENSG00000095627,TDRD1,neutral,0.517
ENSG00000095739,BAMBI,neutral,1.0
ENSG00000095970,TREM2,neutral,1.0
ENSG00000095981,KCNK16,gene-driven,0.618
ENSG00000096060,FKBP5,gene-driven,0.58
ENSG00000096070,BRPF3,neutral,0.811
ENSG00000096092,TMEM14A,neutral,1.0
ENSG00000096395,MLN,neutral,0.83
ENSG00000096401,CDC5L,neutral,0.995
ENSG00000096654,ZNF184,gene-driven,1.0
ENSG00000096696,,gene-driven (relaxed),0.886
ENSG00000096717,SIRT1,neutral,0.997
ENSG00000096746,HNRNPH3,neutral,1.0
ENSG00000097007,ABL1,neutral,0.641
ENSG00000097033,SH3GLB1,neutral,0.995
ENSG00000097096,SYDE2,neutral,0.918
